fecha|hora|pais|operadora|vuelo_numero|ruta|tipo_aeronave|registro_aeronave|abordo|pasajeros|tripulantes|bajas|bajas_pasajeros|bajas_tripulacion|bajas_tierra|Descripcion|country
1908-09-17|17:18|other|Military  US Army||Demonstration|Wright Brothers||2|1|1|1|1|0|0|During a demonstration flight a US Army flyer flown by Orville Wright nosedived into the ground from a height of approximately 75 feet killing Lt Thomas E Selfridge 26 who was a passenger This was the first recorded airplane fatality in history  One of two propellers separated in flight tearing loose the wires bracing the rudder and causing the loss of control of the aircraft  Orville Wright suffered broken ribs pelvis and a leg  Selfridge suffered a crushed skull and died a short time later|
1909-09-07|nan|France|||Air show|Wright Brothers||1|0|1|1|0|0|0|Eugene Lefebvre was the first pilot to ever be killed in an air accident after his controls jambed while flying in an air show|
1912-07-12|06:30|other|Military  US Navy||Test flight|other||5|0|5|5|0|5|0|First US dirigible Akron exploded just offshore at an altitude of 1000 ft during a test flight|
1913-08-06|nan|Canada|Private|||other||1|0|1|1|0|1|0|The first fatal airplane accident in Canada occurred when American barnstormer John M Bryant California aviator was killed|
1913-09-09|18:30|other|Military  German Navy|||other||20|||14|||0|The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea The ship broke in two and the control car immediately sank drowning its occupants|
1913-10-17|10:30|Germany|Military  German Navy|||other||28|||28|||0|Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3000 ftGerman Navys Zeppelin airships L4 and L5 were blown out to sea in February 1915 never to be seen again|
1915-03-05|01:00|Belgium|Military  German Navy|||other||41|0|41|17|0|17|0|Crashed into trees while attempting to land after being shot down by British and French aircraft|
1915-09-03|15:20|Germany|Military  German Navy|||other||19|||19|||0|Exploded and burned near Neuwerk Island  when hydrogen gas being vented was ignited by lightning|
1916-07-28|nan|other|Military  German Army|||other||20|||20|||0|Crashed near the Black Sea cause unknown|
1916-09-24|01:00|England|Military  German Navy|||other||22|||22|||0|Shot down by British aircraft crashing in flames|
1916-10-01|23:45|England|Military  German Navy|||other||19|0|19|19|0|19|0|Shot down in flames by the British 39th Home Defence Squadron|
1916-11-21|nan|Germany|Military  German Army|||other||28|||27|||0|Crashed in a storm|
1916-11-28|23:45|England|Military  German Navy|||other||20|||20|||0|Shot down by British antiaircraft fire and aircraft and crashed into the North Sea|
1917-03-04|nan|Belgium|Military  German Army|||other||20|||20|||0|Caught fire and crashed|
1917-03-30|nan|Germany|Military  German Navy|||other||23|||23|||0|Struck by lightning and crashed into the Baltic Sea|
1917-05-14|05:15|other|Military  German Navy|||other||21|||21|||0|Crashed into the sea from an altitude of 3000 ft after being hit by British aircraft fire|
1917-06-14|08:45|other|Military  German Navy|||other||24|||24|||0|Shot down by British aircraft|
1917-06-17|nan|England||||other||16|||14|||0|Shot down by aircraft|
1917-08-21|07:00|Denmark|Military  German Navy|||other||18|||18|||0|Shot down by British aircraft|
1917-10-20|07:45|France|Military  German Navy|||other||18|||18|||0|Shot down by French antiaircraft fire|
1918-04-07|21:30|other|Military  German Navy|||other||23|||23|||0|Exploded and crashed into the sea off the southern coast of Italy|
1918-08-05|nan|Germany|Military  German Navy|||other||22|||22|||0|Shot down by British aircraft crashing from a height of 17000 ft|
1918-08-11|10:00|other|Military  German Navy|||other||19|||19|||0|Shot down by british aircraft|
1918-12-16|nan|other|US Aerial Mail Service|||De Havilland|97.0|1|0|1|1|0|1|0|Carl Smith was killed when his mail plane feet 500 feet while attempting to land He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground|
1919-05-25|nan|other|US Aerial Mail Service|||De Havilland|61.0|1|0|1|1|0|1|0|Caught fire in midair The pilot leaped from the plane to his death as the plane began to go into a dive|
