fecha|pais|operadora|ruta|tipo_aeronave|abordo|pasajeros|tripulantes|bajas|bajas_pasajeros|bajas_tripulacion|bajas_tierra
1908-09-17|other|Military  US Army|Demonstration|Wright Brothers|2|1|1|1|1|0|0
1909-09-07|France||Air show|Wright Brothers|1|0|1|1|0|0|0
1912-07-12|other|Military  US Navy|Test flight|other|5|0|5|5|0|5|0
1913-08-06|Canada|Private||other|1|0|1|1|0|1|0
1913-09-09|other|Military  German Navy||other|20|0|0|14|0|0|0
1913-10-17|Germany|Military  German Navy||other|28|0|0|28|0|0|0
1915-03-05|Belgium|Military  German Navy||other|41|0|41|17|0|17|0
1915-09-03|Germany|Military  German Navy||other|19|0|0|19|0|0|0
1916-07-28|other|Military  German Army||other|20|0|0|20|0|0|0
1916-09-24|England|Military  German Navy||other|22|0|0|22|0|0|0
1916-10-01|England|Military  German Navy||other|19|0|19|19|0|19|0
1916-11-21|Germany|Military  German Army||other|28|0|0|27|0|0|0
1916-11-28|England|Military  German Navy||other|20|0|0|20|0|0|0
1917-03-04|Belgium|Military  German Army||other|20|0|0|20|0|0|0
1917-03-30|Germany|Military  German Navy||other|23|0|0|23|0|0|0
1917-05-14|other|Military  German Navy||other|21|0|0|21|0|0|0
1917-06-14|other|Military  German Navy||other|24|0|0|24|0|0|0
1917-06-17|England|||other|16|0|0|14|0|0|0
1917-08-21|Denmark|Military  German Navy||other|18|0|0|18|0|0|0
1917-10-20|France|Military  German Navy||other|18|0|0|18|0|0|0
1918-04-07|other|Military  German Navy||other|23|0|0|23|0|0|0
1918-08-05|Germany|Military  German Navy||other|22|0|0|22|0|0|0
1918-08-11|other|Military  German Navy||other|19|0|0|19|0|0|0
1918-12-16|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1919-05-25|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1919-07-19|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1919-08-02|Italy|Caproni Company|Venice  Taliedo|other|14|12|2|14|12|2|0
1919-10-02|England|Aircraft Transport and Travel||De Havilland|1|0|1|1|0|1|0
1919-10-14|other|US Aerial Mail Service||other|1|0|1|1|0|1|0
1919-10-20|other|Aircraft Transport and Travel||De Havilland|0|0|1|0|0|0|0
1919-10-30|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1919-12-11|other|Aircraft Travel Transport|Paris  Hounslow|De Havilland|1|1|1|1|1|1|0
1920-03-10|India|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1920-03-30|other|US Aerial Mail Service|Washington  Newark|De Havilland|1|0|1|1|0|1|0
1920-04-10|other|US Aerial Mail Service||other|2|1|1|1|0|1|0
1920-04-11|other|US Aerial Mail Service||other|2|1|1|1|0|1|0
1920-05-12|other|US Aerial Mail Service||De Havilland|2|1|1|1|1|0|0
1920-06-06|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1920-07-20|other|Compaia Colombiana de Navegacin Area||other|1|1|1|1|1|1|0
1920-08-16|England|By Air||other|1|0|1|1|0|1|0
1920-08-16|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1920-09-01|other|US Aerial Mail Service||Junkers|2|0|2|2|0|2|0
1920-09-15|other|US Aerial Mail Service||Junkers|2|0|0|2|0|0|0
1920-09-27|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1920-10-02|France|Latecoere Airlines||other|2|1|1|2|1|1|0
1920-10-05|Spain|Latecoere Airlines||Breguet Aviation|2|1|1|2|1|1|0
1920-10-15|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1920-11-07|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1920-12-14|England|Handley Page Transport|London  Paris|Handley Page|8|6|2|4|2|2|0
1920-12-24|Spain|Aeropostale||Breguet Aviation|1|0|1|1|0|1|0
1921-02-03|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1921-02-09|other|US Aerial Mail Service||Junkers|3|0|3|3|0|3|0
1921-02-15|other|Aeropostale||Breguet Aviation|2|0|2|2|0|2|0
1921-02-22|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1921-04-06|Australia|Military  Royal Australian Air Force||Avro|2|0|0|2|0|0|0
1921-04-21|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1921-04-29|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1921-05-17|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1921-08-14|France|Aeropostale||Breguet Aviation|2|0|0|2|0|0|0
1921-08-24|England|Military  Royal Airship Works||other|49|0|49|43|0|43|1
1921-09-06|France|FrancoRoumaine|Warsaw  Prague  Strasbourg  Paris|other|5|4|1|5|4|1|0
1921-12-05|Australia|West Australian Airways|Geraldton  Derby|Bristol Aeroplane Company|2|0|2|2|0|2|0
1922-01-14|France|Handley Page Transport||Handley Page|5|4|1|5|4|1|5
1922-02-21|other|Military  US Army Air Service||other|45|0|0|34|0|0|0
1922-03-22|other|Aero Limited|Miami  Bimini|other|6|5|1|5|5|0|0
1922-04-07|France|Daimler Airways  Grands Express Aeriens|Croydon  Le Bourget|De Havilland|7|5|2|7|5|2|0
1922-04-08|China||Test|other|17|0|17|17|0|17|0
1922-06-03|England|Cie des Messageries Aeriennes|Croydon  Paris|other|3|2|1|3|2|1|0
1922-07-04|Germany||Hamburg  Berlin|other|3|2|1|2|1|1|0
1922-07-16|France|Compagnie FrancoRoumaine de Navigaation Aerienne|Strasbourg  Paris|other|5|4|1|5|4|1|0
1922-07-26|Spain|Grands Express Aeriens||Breguet Aviation|3|2|1|3|2|1|0
1922-09-07|India|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1922-10-02|Italy|de Havilland Air Service|Venice  London|De Havilland|4|3|1|4|3|1|0
1922-10-25|Morocco|Grands Express Aeriens||Breguet Aviation|2|1|1|2|1|1|0
1922-12-03|Morocco|Grands Express Aeriens|Toulouse  Barcelona  Valencia  Alicante  Malaga  Rabat|Breguet Aviation|1|0|1|1|0|1|0
1923-01-10|France|Amee de lAir||other|4|2|2|3|1|2|0
1923-01-17|Spain|Grands Express Aeriens||Breguet Aviation|1|0|1|1|0|1|0
1923-01-18|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1923-02-26|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1923-05-14|France|Grands Express Aeriens Air Union|Paris  London|other|6|4|2|6|4|2|0
1923-08-27|United Kingdom|Air Union|Paris  BercksurMer  Croydon|other|11|9|2|1|1|0|0
1923-08-27|Oman|Campagnie France Roumaine||other|2|1|1|2|1|1|0
1923-09-07|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1923-09-14|England|Daimler Airways|Croydon  Manchester|De Havilland|5|3|2|5|3|2|0
1923-11-18|Russia|CCCP||Junkers|5|2|3|3|1|2|0
1923-12-06|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1923-12-23|other|Military  French Navy|Toulon  Algiers|other|52|0|0|52|0|0|0
1923-12-24|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1924-03-07|other|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1924-04-24|other|KLM Royal Dutch Airlines|Lympne England  Rotterdam The Netherlands|Fokker|3|2|1|3|2|1|0
1924-06-08|Colombia|SCADTA|Barranquilla  Bogota|Junkers|5|3|2|5|3|2|0
1924-08-01|United States|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1924-11-06|France|Grands Express Aeriens||Breguet Aviation|1|0|1|1|0|1|0
1924-12-21|India|US Aerial Mail Service||De Havilland|1|0|1|1|0|1|0
1924-12-24|England|Imperial Airways|London  Paris|De Havilland|8|7|1|8|7|1|0
1925-03-22|United States|Zakavia|Tiflis  Suchumi|Junkers|5|3|2|5|3|2|0
1925-04-25|Spain|Grands Express Aeriens|Alicante  Barcelona  Toulouse|Breguet Aviation|3|1|2|3|1|2|0
1925-06-25|France|KLM Royal Dutch Airlines|Amsterdam  Paris|Fokker|4|3|1|4|3|1|0
1925-06-26|Spain|Grands Express Aeriens|Oran  Alicante|other|2|0|2|2|0|2|0
1925-07-20|Spain|Lignes Aeriennes Latecoere|Toulouse  Barcelona|Breguet Aviation|1|0|1|1|0|1|0
1925-07-24|Hungary|CIDNA||other|1|0|1|1|0|1|0
1925-09-03|other|Military  US Navy|Lakehurst NJ  St Louis MO|other|43|0|43|14|0|14|0
1925-10-01|other|US Aerial Mail Service|New York  San Francisco|De Havilland|1|0|1|1|0|1|0
1925-11-14|Mauritania|Lignes Aeriennes Latecoere||Breguet Aviation|1|0|1|1|0|1|0
1925-11-14|France|Air Union||other|2|0|0|2|0|0|0
1926-02-12|other|US Aerial Mail Service||other|1|0|1|1|0|1|0
1926-03-08|Germany|Deutche Lufthansa||Junkers|1|0|1|1|0|1|0
1926-05-31|other|Air Union|Paris  Cryodon|Breguet Aviation|1|0|1|1|0|1|0
1926-07-03|Slovakia|Compagnie Internationale de Navigation Arienne|Paris  Prague  Budapest|other|6|4|2|6|4|2|0
1926-07-09|Belgium|KLM Royal Dutch Airlines|Amsterdam  Rotterdam  Brussels  Paris|Fokker|2|1|1|2|1|1|0
1926-07-24|Germany|Deutsche Lufthansa||Junkers|5|4|1|5|4|1|0
1926-08-18|England|Air Union|Lebourget France  Croydon England|other|15|13|2|3|2|1|0
1926-09-26|other||New York  Paris|Sikorsky Aircraft Corporation|5|4|1|2|2|0|0
1926-10-02|other|Air Union|Paris  London|other|7|5|2|7|5|2|0
1926-10-08|Germany|Deutsche Lufthansa||Fokker|4|3|1|4|3|1|0
1926-10-21|other|Imperial Airways|Croydon  Paris|Handley Page|12|10|2|0|0|0|0
1926-11-11|Morocco|Grands Express Aeriens|Casablanca Dakar|Breguet Aviation|3|3|0|3|3|0|0
1926-12-16|other|Pacific Air Transport||other|1|0|1|1|0|1|0
1927-01-12|France|Fokker|Delivery flight|Fokker|0|0|2|0|0|2|0
1927-03-20|Morocco|Grands Express Aeriens|Casablanca  Oran|Breguet Aviation|1|0|1|1|0|1|0
1927-03-24|Australia|Qantas|Charleville  Tambo  Blackall|De Havilland|3|2|1|3|2|1|0
1927-04-15|other|Varney Air Lines||other|1|0|1|1|0|1|0
1927-04-22|Germany|Deutsche Lufthansa|Charleville  Tambo  Blackall|Fokker|2|1|1|2|1|1|0
1927-04-22|India|US Aerial Mail Service||McDonnell Douglas|1|0|1|1|0|1|0
1927-05-02|Algeria|Air Union||other|3|0|3|1|0|1|0
1927-07-27|Germany|Deutsche Lufthansa|Kassel  Frankfurt|Junkers|5|3|2|5|3|2|0
1927-08-22|England|KLM Royal Dutch Airlines|Croydon  Schiphol|Fokker|11|9|2|1|0|1|0
1927-09-03|other|Colonial Air Transport||Fokker|1|0|1|1|0|1|0
1927-09-17|other|Reynolds Airways|Sightseeing|Fokker|12|11|1|7|6|1|0
1927-09-17|other|Private|Old Orchad Beach  Rome|Fokker|3|1|2|3|1|2|0
1927-09-23|Germany|Deutsche Lufthansa|Berlin  Munich|Dornier|6|4|2|6|4|2|0
1927-10-06|Mauritania|Lignes Aeriennes Latecoere|Saint Louis  Dakar|Breguet Aviation|2|0|2|2|0|2|0
1927-10-30|other|Colonial Air Transport||Fairchild Aircraft|4|3|1|4|3|1|0
1927-11-08|France|CIDNA|Strasbourg  Paris|other|1|0|1|1|0|1|0
1927-11-16|Finland|Aero OY|Tallinn  Helsinki|Junkers|6|4|2|6|4|2|0
1927-11-29|India|National Air Transport||McDonnell Douglas|1|0|1|1|0|1|0
1927-12-28|Spain|Aeropostale|Dakar  Casablanca  Alicante  Perpignan  Toulouse|Breguet Aviation|1|0|1|1|0|1|0
1927-12-31|France|Latecoere Airlines|Test flight|other|5|0|5|5|0|5|0
1928-01-08|other|Colonial Western Airlines|Minola  Albany  Buffalo|Fairchild Aircraft|3|1|2|3|1|2|0
1928-01-16|Uruguay|Aeropostale|Buenos Aires  Montevideo|other|2|0|2|2|0|2|0
1928-01-22|other|Aeropostale|Toulouse  Perpignan  Alicante  Casablanca  Dakar|Breguet Aviation|1|0|1|1|0|1|0
1928-01-22|Spain|Aeropostale|Casablanca  Alicante  Perpignan  Toulouse|Breguet Aviation|2|0|2|2|0|2|0
1928-01-27|Spain|Aeropostale|Casablanca  Alicante  Perpignan  Toulouse|Breguet Aviation|1|0|1|1|0|1|0
1928-02-26|other|Boeing Air Transport||Boeing|2|1|1|1|1|0|0
1928-03-11|France|Air Union|Paris  Croydon|other|2|0|2|2|0|2|0
1928-04-17|other|Boeing Air Transport||Boeing|2|1|1|1|1|0|0
1928-04-19|Spain|Iberia Airlines|Barcelona  Madrid|other|9|7|2|9|7|2|0
1928-05-07|Brazil|Aeropostale||other|5|3|2|1|1|0|0
1928-05-12|other|Ford Air Freight Inc|Dearborn  Buffalo|other|2|0|2|2|0|2|0
1928-05-26|Germany|Deutsche Lufthansa|Essen  Dortmund  Frankfurt|Junkers|5|4|1|3|2|1|0
1928-06-14|Germany|Deutsche Lufthansa||other|5|4|1|5|4|1|0
1928-06-22|other|National Air Transport|Chicago  Dallas|McDonnell Douglas|1|0|1|1|0|1|0
1928-07-10|Finland|Aero OY|Tallinn  Helsinki|Junkers|6|4|2|6|4|2|0
1928-07-13|England|Imperial Airways|Testing|Vickers|6|5|1|4|4|0|0
1928-07-24|Netherlands|KLM Royal Dutch Airlines|Sightseeing over Rotterdam|Fokker|6|5|1|1|1|0|0
1928-08-25|Canada|British Columbia Airways|Victoria  Seattle|other|7|5|2|7|5|2|0
1928-09-02|France|CIDNA|Toul  ClermontFerrand|other|5|2|3|5|2|3|0
1928-09-04|Australia|Qantas|Adelaide  Longreach|De Havilland|2|0|2|1|0|1|0
1928-09-04|other|National Parks Airways|Great Falls  Pocatello  Salt Lake City|Fokker|7|6|1|7|6|1|0
1928-09-06|Germany|Deutsche Lufthansa||Fokker|3|2|1|3|2|1|0
1928-10-04|Spain|Aeropostale|Casablanca  Alicante  Barcelona  Perpignan  Toulouse|Breguet Aviation|3|2|1|3|2|1|0
1928-10-18|other|National Air Transport||McDonnell Douglas|1|0|1|1|0|1|0
1928-10-31|France|Air Union|Paris  Lyon  Marseille|other|2|1|1|1|0|1|0
1928-11-15|other|Aeropostale|Marseille  Palma de Majorca|other|3|0|3|1|0|1|0
1928-11-24|other|Universal Airlines|Cleveland  Chicago|other|3|2|1|3|2|1|0
1928-11-25|other|Continental Air Lines|Cleveland  Louisville|other|1|0|1|1|0|1|0
1928-11-25|other|National Air Transport||McDonnell Douglas|1|0|1|1|0|1|0
1928-12-01|other|Sunbeam Air Transport Co|San Antonio  Amarillo  Tulsa  Denver|other|5|4|1|5|4|1|0
1928-12-03|Brazil|Syndicato Condor|Sightseeing|Dornier|14|9|5|14|9|5|0
1928-12-10|other|Spokane Airways|Colfax  Spokane|other|5|3|2|5|3|2|0
1928-12-11|Germany|Deutsche Lufthansa|Cologne   Berlin|Junkers|4|1|3|3|0|3|0
1928-12-20|other|National Air Transport|Cleveland  Chicago|McDonnell Douglas|1|0|1|1|0|1|0
1928-12-23|other|Interstate Airlines||Fairchild Aircraft|4|3|1|4|3|1|0
1928-12-31|France|CIDNA|Strasbourg  Paris|other|3|2|1|2|2|0|0
1929-01-05|other|Colonial Air Transport||Fairchild Aircraft|1|0|1|1|0|1|0
1929-01-18|other|Varney Air Lines|Boise ID  Pasco WA|other|1|0|1|1|0|1|0
1929-01-25|Greece|Aeroespresso|Brindisi  Athens  Istanbul|other|9|7|2|2|7|2|0
1929-01-31|Morocco|Aeropostale|Agadir  Casablanca|other|2|0|2|2|0|2|0
1929-01-31|other|Skyline Transportation Company||other|1|0|1|1|0|1|0
1929-03-17|other|Colonial Western Airlines|Sightseeing|other|15|13|2|14|13|1|0
1929-03-30|other|New Standard Airlines|Los Angeles  Phoenix  El Paso|Fokker|4|3|1|4|3|1|0
1929-04-21|other|Maddux Airlines  Military  USArmy Air Force|San Diego  Phoenix|other|6|3|3|6|3|3|0
1929-05-09|Mexico|Mexicana|Tampico  Brownsville TX|other|5|4|1|5|4|1|0
1929-05-18|Hungary|MALERT||Fokker|2|0|2|2|0|2|0
1929-05-22|other|Aeropostale|Algiers  Marseille|other|6|3|3|4|3|2|0
1929-06-13|Cuba|Pan American Airways|Santiago de Cuba  Havana|Fokker|5|1|4|2|1|1|0
1929-06-14|Spain|Aeropostale|Janeiro  Buenos Aires|Breguet Aviation|2|0|2|1|0|1|0
1929-06-17|England|Imperial Airways|London  Paris  Basil  Zuric|Handley Page|13|11|2|7|7|0|0
1929-06-24|other|Northwest Orient Airlines|St Paul  Minneapolis|other|8|6|2|1|0|1|0
1929-06-29|Germany|Bodensee Aerolloyd||other|5|4|1|5|4|1|0
1929-06-29|other|Continental Air Lines||other|1|0|1|1|0|1|0
1929-08-11|Mexico|Middle States Airlines||Lockheed Martin|4|2|2|4|2|2|0
1929-08-24|Russia|Ukvozduchput||other|1|0|1|1|0|1|0
1929-08-24|Germany|Deutsche Lufthansa|Frankfurt  Berlin|Fokker|5|4|1|4|3|1|0
1929-09-02|other|Associated Aviators||Lockheed Martin|2|0|2|1|0|1|0
1929-09-03|Mexico|Trans Continental Air Transport|Albuquerque  Los Angeles|other|8|5|3|8|5|3|0
1929-09-06|Iran|Imperial Airways|London England  India|De Havilland|5|2|3|3|1|2|0
1929-09-14|other|Aeropostale|Toulouse France  Casablanca Morocco|other|6|4|2|6|4|2|0
1929-09-14|other|Skyways|Sightseeing|other|6|5|1|6|5|1|0
1929-09-17|other|Colonial Air Transport||other|1|0|1|1|0|1|0
1929-09-17|Morocco|Aeropostale|Toulouse  Perpignan  Barcelona  Alicante  Casablanca|other|5|3|2|5|3|2|0
1929-09-17|other|Pickwick Airways|Tijuana  Nogales|Fairchild Aircraft|2|0|2|1|0|1|0
1929-10-26|Italy|Imperial Airways|Naples  Genoa|Short Brothers|7|5|2|7|5|2|0
1929-10-29|other|Continental Air Lines|Cleveland  Louisville|other|1|0|1|1|0|1|0
1929-10-31|other|BremertonSeattle Air Taxi  Gorst Air Lines|Bremerton  Seattle|other|2|0|2|2|0|2|0
1929-11-04|Mexico|Corp Aeronautica de Transportes|Matamoros  Mexico City  Juarez|Lockheed Martin|4|3|1|4|3|1|0
1929-11-06|England|Deutsche Lufthansa|Croyden  Amsterdam  Berlin|Junkers|8|4|4|7|3|4|0
1929-11-16|France|Air Union|Marseille  Ajaccio  Tunis|other|3|0|3|3|0|3|0
1929-11-20|other|SAM Societ Aerea Mediterranea|Cagliari Terranova  Rome|other|12|9|3|1|1|0|0
1929-11-30|other|Varney Air Lines||other|1|0|1|1|0|1|0
1929-12-02|other|National Air Transport||McDonnell Douglas|1|0|1|1|0|1|0
1929-12-19|Germany|Deutsche Lufthansa|Marseille  Berlin|other|3|0|2|2|0|2|0
1929-12-30|other|Trans Continental Air Transport|Demonistration|other|5|3|2|5|3|2|0
1930-01-10|other|Boeing Air Transport||Boeing|1|0|1|1|0|1|0
1930-01-13|Madagascar|Air Orient|Antananarivo  Paris|other|3|0|3|3|0|3|0
1930-01-19|other|Maddux Airlines|Aqua Caliente Mexico  Los Angeles|other|16|14|2|16|14|2|0
1930-01-25|Spain|Aeropostale|Casablanca  Alicante|other|2|0|2|2|0|2|0
1930-01-27|other|Central  Airlines Universal Aviation Corporation|Wichita  Kansas City KS|other|5|4|1|5|4|1|0
1930-02-03|other|Colonial Air Transport|Newark NJ  Hartford CT|other|1|0|1|1|0|1|0
1930-02-10|England|Air Union|Paris  Croydon|other|6|3|3|2|2|0|0
1930-04-18|other|Canadian Colonial Airways|Albany NY  Jersey City NJ|Fairchild Aircraft|4|3|1|4|3|1|0
1930-05-10|Argentina|Aeropostale|Buenos Aires  Montevideo|other|4|2|2|3|1|2|0
1930-06-05|other|Colonial Air Transport|Boston  Newark|other|15|13|2|1|1|0|0
1930-07-07|Denmark|Deutsche Lufthansa|Stettin  Norway|Dornier|8|5|3|5|4|1|0
1930-07-10|other|Cross Airways|Port Aransas  Kansas City|Lockheed Martin|5|4|1|5|4|1|0
1930-07-21|England|Walcot Air Line|London  Le touquet France|Junkers|6|4|2|6|4|2|0
1930-08-22|Slovakia|Ceskoslovenske Aerolinie|Prague  Bratislava|other|11|10|1|10|9|1|0
1930-09-11|England|Sabena|Croydon  Brussels|other|2|0|2|2|0|2|0
1930-09-25|Canada|Western Canada Airways|Calgary  Moosejaw|Boeing|3|2|1|3|2|1|0
1930-10-05|France|Military  British Air Ministry|Cardington England  Karachi Pakistan|other|54|0|0|48|0|0|0
